tool,n,median_s,min_s,max_s,peak_rss_mb
qqman,50000,0.329,0.311,0.342,619.4
CMplot,50000,0.207,0.203,0.211,696.8
topr,50000,0.257,0.253,0.268,910.8
ggwas,50000,0.191,0.188,0.200,825.1
qqman,200000,1.311,1.289,1.407,854.8
CMplot,200000,0.698,0.684,0.759,785.7
topr,200000,0.727,0.713,0.736,1199.2
ggwas,200000,0.533,0.520,0.570,994.3
qqman,500000,3.115,3.073,3.193,1058.0
CMplot,500000,1.646,1.635,1.727,1016.9
topr,500000,2.014,1.909,2.028,1207.3
ggwas,500000,4.797,4.781,4.838,979.5
qqman,1000000,6.559,6.454,6.706,982.5
CMplot,1000000,3.370,3.304,3.398,1239.6
topr,1000000,3.961,3.944,4.314,1262.1
ggwas,1000000,1.591,1.549,1.711,1237.2
qqman,1372608,9.153,8.856,9.908,993.9
CMplot,1372608,6.320,5.301,8.404,1032.5
topr,1372608,6.614,5.900,7.745,1266.3
ggwas,1372608,1.254,1.250,1.259,1238.3
